ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,labPct,conPct,labPct15,conPct15,labChg,conChg,conLabSwing
E14000930,E12000008,Slough,Berkshire,South East,England,Borough,09/06/2017 03:47,Lab hold,Lab,Con,83272,54295,168,16998,17172,34170,1308,1228,0,0,0,0,0,0,0,0,417,0,0.629339718,0.316272217,0.485157949,0.333195236,0.144181769,-0.016923019,0.080552394
E14000931,E12000005,Solihull,West Midlands,West Midlands,England,Borough,09/06/2017 02:43,Con hold,Con,Lab,77789,56748,120,20571,32985,12414,8901,1291,1157,0,0,0,0,0,0,0,0,0,0.218756608,0.581253965,0.103926687,0.492086383,0.114829921,0.089167581,0.01283117
E14000932,E12000009,Somerton and Frome,Somerset,South West,England,County,09/06/2017 02:46,Con hold,Con,LD,84437,63892,104,22906,36231,10998,13325,0,2347,0,0,0,0,0,0,0,991,0,0.172134227,0.567066299,0.073272646,0.529937489,0.098861581,0.037128811,0.030866385
E14000955,E12000008,"Southampton, Itchen",Hampshire,South East,England,Borough,09/06/2017 05:53,Con hold,Con,Lab,71722,46783,92,31,21773,21742,1421,1122,725,0,0,0,0,0,0,0,0,0,0.464741466,0.4654041,0.365466339,0.417266831,0.099275127,0.048137269,0.025568929
E14000956,E12000008,"Southampton, Test",Hampshire,South East,England,Borough,09/06/2017 06:05,Lab hold,Lab,Con,70199,46903,119,11503,16006,27509,1892,0,0,0,0,0,0,0,0,0,1496,0,0.586508326,0.341257489,0.412741684,0.32546046,0.173766641,0.015797029,0.078984806
N06000014,N92000002,South Antrim,Northern Ireland,Northern Ireland,Northern Ireland,County,09/06/2017 02:26,DUP gain from UUP,DUP,UUP,68244,43170,122,3208,0,0,0,0,0,0,0,16508,7797,2362,13300,3203,0,0,0,0,0,0.011362703,0,-0.011362703,0.005681351
E14000933,E12000006,South Basildon and East Thurrock,Essex,East,England,County,09/06/2017 01:14,Con hold,Con,Lab,73537,47120,75,11490,26811,15321,732,3193,680,0,0,0,0,0,0,0,383,0,0.325148557,0.568994058,0.25207817,0.434013993,0.073070387,0.134980064,-0.030954839
E14000934,E12000006,South Cambridgeshire,Cambridgeshire,East,England,County,09/06/2017 02:27,Con hold,Con,Lab,85257,64924,166,15952,33631,17679,12102,0,1512,0,0,0,0,0,0,0,0,0,0.272303,0.518005668,0.176470588,0.511114722,0.095832412,0.006890946,0.044470733
E14000935,E12000004,South Derbyshire,Derbyshire,East Midlands,England,County,09/06/2017 03:18,Con hold,Con,Lab,76380,52631,120,11970,30907,18937,1870,0,917,0,0,0,0,0,0,0,0,0,0.359806958,0.58723946,0.267818447,0.493794571,0.091988511,0.093444889,-0.000728189
E14000936,E12000009,South Dorset,Dorset,South West,England,County,09/06/2017 03:05,Con hold,Con,Lab,75553,51906,103,11695,29135,17440,3053,0,2278,0,0,0,0,0,0,0,0,0,0.335991986,0.561303125,0.242031401,0.488836759,0.093960584,0.072466365,0.010747109
